collection,reference,price,currency,country,year,price_USD,price_USD_median,Price Difference,Difference Rate (%)
LUMINOR-DUE,PAM00926,6100.0,GBP,UK,2021,8418.0,8280.0,138.0,1.6666666666666667
LUMINOR-DUE,PAM00926,9000.0,USD,USA,2021,9000.0,8280.0,720.0,8.695652173913043
LUMINOR-DUE,PAM00927,7200.0,EUR,France,2021,8496.0,8664.0,-168.0,-1.9390581717451523
LUMINOR-DUE,PAM00927,880000.0,JPY,Japan,2021,8008.0,8664.0,-656.0,-7.571560480147737
LUMINOR-DUE,PAM00927,6400.0,GBP,UK,2021,8832.0,8664.0,168.0,1.9390581717451523
LUMINOR-DUE,PAM00927,9400.0,USD,USA,2021,9400.0,8664.0,736.0,8.494921514312095
RADIOMIR,PAM00931,8500.0,EUR,France,2021,10030.0,10259.0,-229.0,-2.2321863729408324
RADIOMIR,PAM00931,1056000.0,JPY,Japan,2021,9609.6,10259.0,-649.3999999999996,-6.330051661955352
RADIOMIR,PAM00931,7600.0,GBP,UK,2021,10488.0,10259.0,229.0,2.2321863729408324
RADIOMIR,PAM00931,11100.0,USD,USA,2021,11100.0,10259.0,841.0,8.197680085778341
LUMINOR-DUE,PAM00944,10900.0,EUR,France,2021,12862.0,13124.0,-262.0,-1.99634257848217
LUMINOR-DUE,PAM00944,1353000.0,JPY,Japan,2021,12312.300000000001,13124.0,-811.6999999999989,-6.184852179213646
LUMINOR-DUE,PAM00944,9700.0,GBP,UK,2021,13385.999999999998,13124.0,261.9999999999982,1.9963425784821562
LUMINOR-DUE,PAM00944,14200.0,USD,USA,2021,14200.0,13124.0,1076.0,8.19871990246876
SUBMERSIBLE,PAM00960,16900.0,EUR,France,2021,19942.0,20390.0,-448.0,-2.1971554683668466
SUBMERSIBLE,PAM00960,2112000.0,JPY,Japan,2021,19219.2,20390.0,-1170.7999999999993,-5.742030407062282
SUBMERSIBLE,PAM00960,15100.0,GBP,UK,2021,20838.0,20390.0,448.0,2.1971554683668466
SUBMERSIBLE,PAM00960,22000.0,USD,USA,2021,22000.0,20390.0,1610.0,7.896027464443354
SUBMERSIBLE,PAM00961,39900.0,EUR,France,2021,47082.0,48243.0,-1161.0,-2.4065667557987687
SUBMERSIBLE,PAM00961,4972000.0,JPY,Japan,2021,45245.200000000004,48243.0,-2997.7999999999956,-6.213958501751541
SUBMERSIBLE,PAM00961,35800.0,GBP,UK,2021,49403.99999999999,48243.0,1160.9999999999927,2.4065667557987536
SUBMERSIBLE,PAM00961,52000.0,USD,USA,2021,52000.0,48243.0,3757.0,7.787658313123147
LUMINOR-DUE,PAM00964,11900.0,EUR,France,2021,14042.0,14266.0,-224.0,-1.5701668302257115
LUMINOR-DUE,PAM00964,1474000.0,JPY,Japan,2021,13413.400000000001,14266.0,-852.5999999999985,-5.976447497546604
LUMINOR-DUE,PAM00964,10500.0,GBP,UK,2021,14489.999999999998,14266.0,223.99999999999818,1.5701668302256988
LUMINOR-DUE,PAM00964,15500.0,USD,USA,2021,15500.0,14266.0,1234.0,8.649936912939857
SUBMERSIBLE,PAM00968,16500.0,EUR,France,2021,19470.0,19602.0,-132.0,-0.6734006734006733
SUBMERSIBLE,PAM00968,2057000.0,JPY,Japan,2021,18718.7,19602.0,-883.2999999999993,-4.50617283950617
SUBMERSIBLE,PAM00968,14300.0,GBP,UK,2021,19734.0,19602.0,132.0,0.6734006734006733
SUBMERSIBLE,PAM00968,20900.0,USD,USA,2021,20900.0,19602.0,1298.0,6.621773288439956
SUBMERSIBLE,PAM00973,8700.0,EUR,France,2021,10266.0,10377.0,-111.0,-1.0696733159872795
SUBMERSIBLE,PAM00973,1078000.0,JPY,Japan,2021,9809.800000000001,10377.0,-567.1999999999989,-5.465934277729584
SUBMERSIBLE,PAM00973,7600.0,GBP,UK,2021,10488.0,10377.0,111.0,1.0696733159872795
SUBMERSIBLE,PAM00973,11300.0,USD,USA,2021,11300.0,10377.0,923.0,8.894670906813145
LUMINOR,PAM00977,8500.0,EUR,France,2021,10030.0,10121.0,-91.0,-0.8991206402529395
LUMINOR,PAM00977,1056000.0,JPY,Japan,2021,9609.6,10121.0,-511.39999999999964,-5.0528603892895925
LUMINOR,PAM00977,7400.0,GBP,UK,2021,10212.0,10121.0,91.0,0.8991206402529395
LUMINOR,PAM00977,11100.0,USD,USA,2021,11100.0,10121.0,979.0,9.672957217666237
SUBMERSIBLE,PAM00979,18900.0,EUR,France,2021,22302.0,22881.0,-579.0,-2.530483807525895
SUBMERSIBLE,PAM00979,2354000.0,JPY,Japan,2021,21421.4,22881.0,-1459.5999999999985,-6.379091822909831
SUBMERSIBLE,PAM00979,17000.0,GBP,UK,2021,23460.0,22881.0,579.0,2.530483807525895
SUBMERSIBLE,PAM00979,24600.0,USD,USA,2021,24600.0,22881.0,1719.0,7.512783532188279
SUBMERSIBLE,PAM00982,18900.0,EUR,France,2021,22302.0,22881.0,-579.0,-2.530483807525895
SUBMERSIBLE,PAM00982,2354000.0,JPY,Japan,2021,21421.4,22881.0,-1459.5999999999985,-6.379091822909831
SUBMERSIBLE,PAM00982,17000.0,GBP,UK,2021,23460.0,22881.0,579.0,2.530483807525895
SUBMERSIBLE,PAM00982,24600.0,USD,USA,2021,24600.0,22881.0,1719.0,7.512783532188279
SUBMERSIBLE,PAM00983,38900.0,EUR,France,2021,45902.0,47032.0,-1130.0,-2.4026194931110734
SUBMERSIBLE,PAM00983,4774000.0,JPY,Japan,2021,43443.4,47032.0,-3588.5999999999985,-7.63012417077734
SUBMERSIBLE,PAM00983,34900.0,GBP,UK,2021,48161.99999999999,47032.0,1129.9999999999927,2.402619493111058
SUBMERSIBLE,PAM00983,50600.0,USD,USA,2021,50600.0,47032.0,3568.0,7.586324204796734
SUBMERSIBLE,PAM00984,19900.0,EUR,France,2021,23482.0,24092.0,-610.0,-2.5319608168686702
SUBMERSIBLE,PAM00984,2519000.0,JPY,Japan,2021,22922.9,24092.0,-1169.0999999999985,-4.852648181969112
SUBMERSIBLE,PAM00984,17900.0,GBP,UK,2021,24701.999999999996,24092.0,609.9999999999964,2.531960816868655
SUBMERSIBLE,PAM00984,25900.0,USD,USA,2021,25900.0,24092.0,1808.0,7.504565830981239
SUBMERSIBLE,PAM00985,39900.0,EUR,France,2021,47082.0,48243.0,-1161.0,-2.4065667557987687
SUBMERSIBLE,PAM00985,4972000.0,JPY,Japan,2021,45245.200000000004,48243.0,-2997.7999999999956,-6.213958501751541
SUBMERSIBLE,PAM00985,35800.0,GBP,UK,2021,49403.99999999999,48243.0,1160.9999999999927,2.4065667557987536
SUBMERSIBLE,PAM00985,52000.0,USD,USA,2021,52000.0,48243.0,3757.0,7.787658313123147
RADIOMIR,PAM00992,8300.0,EUR,France,2021,9794.0,10003.0,-209.0,-2.089373188043587
RADIOMIR,PAM00992,1023000.0,JPY,Japan,2021,9309.300000000001,10003.0,-693.6999999999989,-6.934919524142746
RADIOMIR,PAM00992,7400.0,GBP,UK,2021,10212.0,10003.0,209.0,2.089373188043587
RADIOMIR,PAM00992,10800.0,USD,USA,2021,10800.0,10003.0,797.0,7.967609717084874
RADIOMIR,PAM00995,10900.0,EUR,France,2021,12862.0,13193.0,-331.0,-2.508906238156598
RADIOMIR,PAM00995,1353000.0,JPY,Japan,2021,12312.300000000001,13193.0,-880.6999999999989,-6.675509740013635
RADIOMIR,PAM00995,9800.0,GBP,UK,2021,13523.999999999998,13193.0,330.9999999999982,2.5089062381565843
RADIOMIR,PAM00995,14200.0,USD,USA,2021,14200.0,13193.0,1007.0,7.632835594633518
RADIOMIR,PAM00997,12900.0,EUR,France,2021,15222.0,15546.0,-324.0,-2.084137398687765
RADIOMIR,PAM00997,1606000.0,JPY,Japan,2021,14614.6,15546.0,-931.3999999999996,-5.991251768943777
RADIOMIR,PAM00997,11500.0,GBP,UK,2021,15869.999999999998,15546.0,323.9999999999982,2.0841373986877536
RADIOMIR,PAM00997,16800.0,USD,USA,2021,16800.0,15546.0,1254.0,8.066383635661907
RADIOMIR,PAM00998,11700.0,EUR,France,2021,13806.0,14113.5,-307.5,-2.1787650122223403
RADIOMIR,PAM00998,1452000.0,JPY,Japan,2021,13213.2,14113.5,-900.2999999999993,-6.378998830906574
RADIOMIR,PAM00998,10450.0,GBP,UK,2021,14420.999999999998,14113.5,307.4999999999982,2.1787650122223274
RADIOMIR,PAM00998,15200.0,USD,USA,2021,15200.0,14113.5,1086.5,7.698303043185603
LUMINOR,PAM01028,8500.0,EUR,France,2021,10030.0,10121.0,-91.0,-0.8991206402529395
LUMINOR,PAM01028,1056000.0,JPY,Japan,2021,9609.6,10121.0,-511.39999999999964,-5.0528603892895925
LUMINOR,PAM01028,7400.0,GBP,UK,2021,10212.0,10121.0,91.0,0.8991206402529395
