brand,url,image_url,collection,reference,price,currency,country,year,price_EUR,price_GBP,price_USD,price_JPY
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01085-luminor-blu-mare---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,LUMINOR,PAM01085,7100.0,USD,USA,2021,6835.88,5637.400000000001,7100.0,1069050.55
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01314-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,LUMINOR,PAM01314,10300.0,USD,USA,2021,9916.84,8178.200000000001,10300.0,1550876.1500000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam02392-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/66/85/6/2066856.png,LUMINOR,PAM02392,10100.0,USD,USA,2021,9724.28,8019.400000000001,10100.0,1520762.05
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01316-luminor-marina--specchio-blu---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,LUMINOR,PAM01316,11300.0,USD,USA,2021,10879.64,8972.2,11300.0,1701446.6500000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01096-luminor-luna-rossa-gmt---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/76/80/1/2076801.png,LUMINOR,PAM01096,14100.0,USD,USA,2021,13575.48,11195.400000000001,14100.0,2123044.0500000003
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam01070-submersible-goldtech-orocarbo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/81/27/2/2081272.png,SUBMERSIBLE,PAM01070,39000.0,USD,USA,2021,37549.2,30966.0,39000.0,5872249.5
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01393-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/81/31/7/2081317.png,LUMINOR,PAM01393,10100.0,USD,USA,2021,9724.28,8019.400000000001,10100.0,1520762.05
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01086-luminor-base-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/83/64/8/2083648.png,LUMINOR,PAM01086,6400.0,USD,USA,2021,6161.92,5081.6,6400.0,963651.2000000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01084-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,LUMINOR,PAM01084,7100.0,USD,USA,2021,6835.88,5637.400000000001,7100.0,1069050.55
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam02020-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/20/92/98/5/2092985.png,RADIOMIR,PAM02020,8400.0,USD,USA,2021,8087.5199999999995,6669.6,8400.0,1264792.2000000002
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01075-luminor-left-handed---47mm.html,https://www.panerai.com/content/dam/rcq/pan/21/16/47/0/2116470.png,LUMINOR,PAM01075,12400.0,USD,USA,2021,11938.72,9845.6,12400.0,1867074.2000000002
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01122-luminor-marina-44mm---guillaume-nery-edition.html,https://www.panerai.com/content/dam/rcq/pan/21/28/65/2/2128652.png,LUMINOR,PAM01122,24900.0,USD,USA,2021,23973.72,19770.600000000002,24900.0,3749205.45
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam01074-submersible-bronzo-blu-abisso.html,https://www.panerai.com/content/dam/rcq/pan/21/33/34/4/2133344.png,SUBMERSIBLE,PAM01074,20200.0,USD,USA,2021,19448.56,16038.800000000001,20200.0,3041524.1
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01116-luminor-marina-platinumtech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/21/33/35/9/2133359.png,LUMINOR,PAM01116,50100.0,USD,USA,2021,48236.28,39779.4,50100.0,7543582.050000001
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam01164-submersible-goldtech---42mm.html,https://www.panerai.com/content/dam/rcq/pan/21/34/44/9/2134449.png,SUBMERSIBLE,PAM01164,35400.0,USD,USA,2021,34083.12,28107.600000000002,35400.0,5330195.7
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01109-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png,LUMINOR,PAM01109,11600.0,USD,USA,2021,11168.48,9210.4,11600.0,1746617.8
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01110-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png,LUMINOR,PAM01110,12600.0,USD,USA,2021,12131.28,10004.4,12600.0,1897188.3
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01111-luminor-chrono-goldtech-blu-notte.html,https://www.panerai.com/content/dam/rcq/pan/21/48/50/1/2148501.png,LUMINOR,PAM01111,34500.0,USD,USA,2021,33216.6,27393.0,34500.0,5194682.25
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01157-luminor-marina-esteel--blu-profondo.html,https://www.panerai.com/content/dam/rcq/pan/21/48/51/9/2148519.png,LUMINOR,PAM01157,11100.0,USD,USA,2021,10687.08,8813.4,11100.0,1671332.55
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01303-luminor-chrono-luna-rossa.html,https://www.panerai.com/content/dam/rcq/pan/21/48/52/9/2148529.png,LUMINOR,PAM01303,11900.0,USD,USA,2021,11457.32,9448.6,11900.0,1791788.9500000002
